id_feu,siniestro_fecha,provincia,id_provincia,numero,numero_ocupantes,tipo_involucrado,otro_tipo_involucrado,ano_vehiculo,uso_vehiculo,tipo_servicio_vehiculo,tipo_vehiculo_de_movilidad_personal,tipo_de_bicicleta,tipo_de_transporte_de_carga,sustancias_peligrosas,tipo_transporte_pasajeros,tipo_traccion_a_sangre
48841,2018-08-12 11:55:00,CORRIENTES,21,0,1,Automóvil,,2017,Privado,,,,,,,
48841,2018-08-12 11:55:00,CORRIENTES,21,1,1,Motocicleta,,2015,Privado,,,,,,,
48849,2018-08-17 14:00:00,CORRIENTES,21,0,1,Motocicleta,,2014,Privado,,,,,,,
48857,2018-08-06 20:30:00,CORRIENTES,21,0,1,Motocicleta,,2008,Privado,,,,,,,
48861,2018-08-23 9:45:00,CORRIENTES,21,0,1,Automóvil,,2015,Privado,,,,,,,
48861,2018-08-23 9:45:00,CORRIENTES,21,1,1,Motocicleta,,2018,Privado,,,,,,,
48874,2018-08-27 11:25:00,CORRIENTES,21,0,1,Automóvil,,2018,Publico,,,,,,,
48874,2018-08-27 11:25:00,CORRIENTES,21,1,1,Motocicleta,,2013,,,,,,,,
48885,2018-08-30 13:00:00,CORRIENTES,21,0,1,Automóvil,,2014,Privado,,,,,,,
48885,2018-08-30 13:00:00,CORRIENTES,21,1,1,Motocicleta,,2018,Privado,,,,,,,
48909,2018-09-06 10:00:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,,,,,,,
48909,2018-09-06 10:00:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,2013,,,,,,,,
48912,2018-09-07 0:00:00,CORRIENTES,21,0,1,Automóvil,,2013,Privado,,,,,,,
48912,2018-09-07 0:00:00,CORRIENTES,21,1,1,Automóvil,,2016,Privado,,,,,,,
48973,2018-09-26 16:30:00,CORRIENTES,21,0,3,Motocicleta,,2017,Privado,,,,,,,
48973,2018-09-26 16:30:00,CORRIENTES,21,1,1,Automóvil,,2017,Privado,,,,,,,
48983,2018-10-01 18:05:00,CORRIENTES,21,0,1,Motocicleta,,2017,Privado,,,,,,,
48983,2018-10-01 18:05:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,2011,,,,,,,,
48992,2018-10-04 10:06:00,CORRIENTES,21,0,1,Automóvil,,1992,Privado,,,,,,,
48992,2018-10-04 10:06:00,CORRIENTES,21,1,1,Motocicleta,,2017,Privado,,,,,,,
48996,2018-10-07 20:25:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,,,,,,,
48996,2018-10-07 20:25:00,CORRIENTES,21,1,2,Motocicleta,,2012,Privado,,,,,,,
49020,2018-10-18 0:06:00,CORRIENTES,21,0,1,Automóvil,,1992,Privado,,,,,,,
49020,2018-10-18 0:06:00,CORRIENTES,21,1,1,Automóvil,,2016,Privado,,,,,,,
49037,2018-10-24 17:00:00,CORRIENTES,21,0,1,Camioneta/Utilitario,,2012,,Pax,,,,,,
49037,2018-10-24 17:00:00,CORRIENTES,21,1,1,Motocicleta,,2018,Privado,,,,,,,
49039,2018-10-25 9:15:00,CORRIENTES,21,0,1,Motocicleta,,2017,Privado,,,,,,,
49039,2018-10-25 9:15:00,CORRIENTES,21,1,1,Automóvil,,2014,Privado,,,,,,,
49052,2018-10-29 7:50:00,CORRIENTES,21,0,1,Automóvil,,2018,Privado,,,,,,,
49052,2018-10-29 7:50:00,CORRIENTES,21,1,1,Camioneta/Utilitario,,2018,Privado,,,,,,,
49076,2018-11-07 18:00:00,CORRIENTES,21,0,1,Motocicleta,,2018,Privado,Pax,,,,,,
49076,2018-11-07 18:00:00,CORRIENTES,21,1,1,Automóvil,,2010,Privado,Pax,,,,,,
49086,2018-11-14 19:30:00,CORRIENTES,21,0,1,Automóvil,,2013,Privado,,,,,,,
49086,2018-11-14 19:30:00,CORRIENTES,21,1,1,Automóvil,,2017,Privado,,,,,,,
49090,2018-11-15 18:30:00,CORRIENTES,21,0,1,Automóvil,,2007,,,,,,,,
